Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	xUnit1051	Calls to methods which accept CancellationToken should use TestContext.Current.CancellationToken to allow test cancellation to be more responsive.	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\ExportServiceTests.cs	133		
Error (active)	xUnit1051	Calls to methods which accept CancellationToken should use TestContext.Current.CancellationToken to allow test cancellation to be more responsive. (https://xunit.net/xunit.analyzers/rules/xUnit1051)	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\FileMetadataQueryServiceTests.cs	33		
Error (active)	xUnit1051	Calls to methods which accept CancellationToken should use TestContext.Current.CancellationToken to allow test cancellation to be more responsive. (https://xunit.net/xunit.analyzers/rules/xUnit1051)	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Infrastructure.Export\DigitalPdfSignerTests.cs	42		
Error (active)	CS8604	Possible null reference argument for parameter 'actual' in 'void ShouldBeStringTestExtensions.ShouldContain(string actual, string expected, Case caseSensitivity = Case.Insensitive, string? customMessage = null)'.	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Infrastructure.Export\DigitalPdfSignerTests.cs	46		
Error (active)	xUnit1051	Calls to methods which accept CancellationToken should use TestContext.Current.CancellationToken to allow test cancellation to be more responsive. (https://xunit.net/xunit.analyzers/rules/xUnit1051)	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Infrastructure.Export\PdfRequirementSummarizerServiceTests.cs	46		
Error (active)	xUnit1051	Calls to methods which accept CancellationToken should use TestContext.Current.CancellationToken to allow test cancellation to be more responsive. (https://xunit.net/xunit.analyzers/rules/xUnit1051)	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\FileMetadataQueryServiceTests.cs	47		
Error (active)	xUnit1051	Calls to methods which accept CancellationToken should use TestContext.Current.CancellationToken to allow test cancellation to be more responsive. (https://xunit.net/xunit.analyzers/rules/xUnit1051)	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\FileMetadataQueryServiceTests.cs	59		
Error (active)	CS8604	Possible null reference argument for parameter 'actual' in 'void ShouldBeStringTestExtensions.ShouldContain(string actual, string expected, Case caseSensitivity = Case.Insensitive, string? customMessage = null)'.	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Infrastructure.Export\DigitalPdfSignerTests.cs	64		
Error (active)	CS1503	Argument 3: cannot convert from 'System.Threading.CancellationToken' to 'string?'	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\MetadataExtractionPerformanceTests.cs	78		
Error (active)	xUnit1051	Calls to methods which accept CancellationToken should use TestContext.Current.CancellationToken to allow test cancellation to be more responsive.	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\Application\Services\ExportServiceTests.cs	79		
