"Fecha
de la Operación",Fecha de cargo,Descripción del movimiento,Monto
05-jul-2025, 07-jul-202,NETFLIX COM CR NME 110513PI3,+ $329.00
11-jul-2025, 14-jul-202,AT&T CR CNM 980114PI2,+ $616.47
01-ago-2025, 04-ago-202,GPO NAL PROV MODELO GNP9211244P0 MX,+ $567.54
03-jul-2025, 07-jul-202,COSTCO MONTERREY 2 CME 910715UB9MX,+ $204.57
03-jul-2025, 07-jul-202,RADISSON HOTEL MCALLE MCALLEN TX,"+ $3,813.98"
,,TC1* 18.665200 TC2* 0.000000 U.S. DOLLAR 203.32,
04-jul-2025, 07-jul-202,PANADERIA EL CASTANO SAOD900217G10MX,+ $36.00
04-jul-2025, 07-jul-202,HDM 1169 CUMBRES OEST HDM 001017AS1,"+ $1,143.00"
04-jul-2025, 07-jul-202,STRIPE *UBER TRIP UPM 200220LK5MX,+ $269.92
04-jul-2025, 07-jul-202,7 ELEVEN T 2008 SEM 980701STA,+ $49.00
04-jul-2025, 07-jul-202,OXXO CAMARENA CCO 8605231N4,+ $21.00
04-jul-2025, 07-jul-202,CARLS JR CUMBRES JFO 901024SX4,+ $532.00
04-jul-2025, 07-jul-202,INMEDIK CENTRO MEDICO CMS 100115Q41MX,+ $70.52
05-jul-2025, 07-jul-202,DON COLCHON CUMBRES 005 de 012,+ $485.73
05-jul-2025, 07-jul-202,POINTMP*IPRINT 003 de 003,+ $20.66
05-jul-2025, 07-jul-202,ISHOP MIXUP CUMBRES MT 002 de 024,+ $479.00
05-jul-2025, 07-jul-202,CUMBRES III S D SIH 9511279T7MX,+ $804.99
05-jul-2025, 07-jul-202,HDM 1169 CUMBRES OEST HDM 001017AS1,+ $79.00
05-jul-2025, 07-jul-202,MC DONALD S MTY CUMB RAD161031RK1 MX,+ $447.00
06-jul-2025, 07-jul-202,LITTLE CAESA CUMBRES S PCA 0810272Y0MX,+ $20.00
06-jul-2025, 07-jul-202,WALMART PASEO REAL NWM 9709244W4,+ $799.00
06-jul-2025, 07-jul-202,7ELEVEN T2519 SOL VERO SEM 980701STA,+ $69.00
06-jul-2025, 07-jul-202,PC SAPI WEB PCA0810272Y0MX,+ $129.00
07-jul-2025, 08-jul-202,DHL MTY CUMBRES DEM8801152E9MX,+ $383.19
08-jul-2025, 09-jul-202,MERPAGO*LOSDOGGYSMTY MAG 2105031W3MX,+ $160.00
08-jul-2025, 09-jul-202,7 ELEVEN T1825 SEM 980701STA,+ $51.50
08-jul-2025, 09-jul-202,7 ELEVEN T1825 SEM 980701STA,+ $75.50
09-jul-2025, 09-jul-202,PROGRAMA FOR LIFE,"- $6,523.00"
09-jul-2025, 10-jul-202,TAQUERIA SIBER MEXICAN GARCIA NL MX,+ $93.00
09-jul-2025, 10-jul-202,CIA MEX GAS 3 MGA 2708246H0MX,+ $240.00
09-jul-2025, 10-jul-202,7 ELEVEN T1825 SEM 980701STA,+ $56.50
09-jul-2025, 10-jul-202,SERV AGUA DREN MTY CIB SAD560528572MX,+ $319.00
10-jul-2025, 11-jul-202,TAQUERIA SIBER MEXICAN GARCIA NL MX,+ $118.00
10-jul-2025, 11-jul-202,MERPAGO*BRAULIOMTZ MAG 2105031W3MX,+ $143.00
10-jul-2025, 11-jul-202,TOTAL PASS SAPI DE CV TPA 1806208Q6MX,+ $307.00
10-jul-2025, 11-jul-202,7 ELEVEN T1825 SEM 980701STA,+ $18.00
10-jul-2025, 11-jul-202,TEMU DME 181024S84MX,+ $472.86
10-jul-2025, 11-jul-202,TEMU DME 181024S84MX,+ $30.68
10-jul-2025, 11-jul-202,TEMU DME 181024S84MX,+ $197.39
11-jul-2025, 14-jul-202,CUMBRES III S D SIH 9511279T7MX,+ $34.00
11-jul-2025, 14-jul-202,MERPAGO*LOSDOGGYSMTY MAG 2105031W3MX,+ $155.00
11-jul-2025, 14-jul-202,OXXO VLLE D CUMBRE MTY CCO 8605231N4,+ $49.00
11-jul-2025, 14-jul-202,7 ELEVEN T 2008 SEM 980701STA,+ $40.50
12-jul-2025, 14-jul-202,LITTLE CAESA CUMBRES S PCA 0810272Y0MX,+ $149.00
12-jul-2025, 14-jul-202,CUMBRES III S D SIH 9511279T7MX,+ $96.00
12-jul-2025, 14-jul-202,7ELEVEN T2519 SOL VERO SEM 980701STA,+ $49.00
12-jul-2025, 14-jul-202,HDM 1169 CUMBRES OEST HDM 001017AS1,+ $105.00
12-jul-2025, 14-jul-202,HDM 1169 CUMBRES OEST HDM 001017AS1,+ $389.20
12-jul-2025, 14-jul-202,TH FORUM LEONES TME170321L38MX,+ $274.00
13-jul-2025, 14-jul-202,APPLE.COM/BILL 866-712-7753 CA,+ $249.00
13-jul-2025, 14-jul-202,CARLS JR SENDERO LINCO JFO 901024SX4,+ $561.00
13-jul-2025, 14-jul-202,HOME DEPOT CUMBRE HDM 001017AS1,+ $338.00
13-jul-2025, 15-jul-202,COSTCO MONTERREY 2 CME 910715UB9MX,+ $600.20
15-jul-2025, 16-jul-202,MERPAGO*BRAULIOMTZ MAG 2105031W3MX,+ $143.00
15-jul-2025, 16-jul-202,7 ELEVEN T1825 SEM 980701STA,+ $40.00
15-jul-2025, 16-jul-202,TCONE*FRUTAS Y VERDU ESRR700417000MX,+ $22.00
