,,,,,,
No. ,Descripció,Nota,Prioritario,RG,,
Página 1  - Carátu,,,,,,
,Datos Generales,,,,,
1,Extraer nombre del producto,,,,,
2,Extraer nombre completo del  cliente ,Dividirlo en Nombre(s) y  Apellidos,x,,,
3,Extraer direcció,"Dividir por sus componente, Calle,  Número, Colonia, Cp, Estad",,,,
4,Extraer Número de sucursal,"Juntar los datos en una línea separados por""|""",x,,,
5,Extraer Número de Tarjet,,,,,
6,Extraer CLABE Interbancaria ,,,,,
7,Extraer Número de client,,,,,
8,Extraer RFC,,,,,
9,Extrae Tasa de Interés anual ordinario fija ,buscar el datos en la pestaña TAS,x,,,
10,CAT,"es un cálculo;  CAT= (((línea de crédito* Tasa de Interés Anual Ordinaria Fija)+1,500 comisiones anuales )/ línea de crédit",x,$0.00 - 0.50,> $0.50 MXN,
11,Extraer Periodo,dividir por fecha de inicio y fecha de fin;   Asegurara que las fechas del desglose de operaciones coincida con ,x,,,
12,Extraer Fecha de corte,,,,,
13,Extraer Número de días en el period,,,,,
14,Extraer Fecha límite de pago,,,,,
15,Extraer Pago para no generar intereses ,"debe de coincidir con el PAGO PARA NO GENERAR INTERESES, de la sección RESUMEN DE CARGOS Y ABONOS DEL PERIODO",x,,,
16,Extraer Pago mínimo + compras y cargos diferidos a meses:,debe de coincidir con la suma de Pago Mínimo + Cargos compras a mese,x,,,
,RESUMEN DE CARGOS Y ABONOS DEL PERIODO,,,,,
17,Adeudo del periodo anterior,Validar que coincida con Pago para no generar intereses del  estado de cuenta del  periodo anterior,x,$0.00 - 0.50,> $0.50 MXN,
18,Cargos regulares (no a meses),"Validar que la suma de las operaciones (que no son a Meses sin intereses) detalladas en el desglose coincide con el monto de ""Cargos Regulares (no a meses)""",x,$0.00 - 0.50,> $0.50 MXN,
19,Cargos compras a meses (capital),"Validar que la suma de las operaciones (que SI son a Meses sin intereses) detalladas en el desglose coincide con el monto de ""Cargos Compras a meses (capital)""",x,$0.00 - 0.50,> $0.50 MXN,
20,Pagos y abonos,Validar que coincida contra la suma de todas las operaciones de cargo y abono que aparecen en el apartado DESGLOSE DE MOVIMIENTOS DEL PERIODO.,x,$0.00 - 0.50,> $0.50 MXN,
