filter_id,filter_type,degradation_level,total_edits,222AAA,333BBB,333ccc,555CCC
PIL_0,PIL,Q0_Pristine,499,170,138,145,46
PIL_0,PIL,Q05_VeryGood,551,192,156,166,37
PIL_0,PIL,Q1_Poor,542,205,159,143,35
PIL_0,PIL,Q15_Medium,1054,289,275,214,276
PIL_0,PIL,Q2_MediumPoor,1444,368,445,374,257
PIL_1,PIL,Q0_Pristine,578,186,169,168,55
PIL_1,PIL,Q05_VeryGood,548,193,145,180,30
PIL_1,PIL,Q1_Poor,614,194,183,198,39
PIL_1,PIL,Q15_Medium,1127,289,312,254,272
PIL_1,PIL,Q2_MediumPoor,1602,371,506,426,299
PIL_2,PIL,Q0_Pristine,554,175,143,185,51
PIL_2,PIL,Q05_VeryGood,514,175,129,177,33
PIL_2,PIL,Q1_Poor,597,193,185,187,32
PIL_2,PIL,Q15_Medium,1015,310,269,221,215
PIL_2,PIL,Q2_MediumPoor,1584,371,508,425,280
PIL_3,PIL,Q0_Pristine,494,158,137,150,49
PIL_3,PIL,Q05_VeryGood,497,179,131,158,29
PIL_3,PIL,Q1_Poor,523,188,166,137,32
PIL_3,PIL,Q15_Medium,1055,317,270,194,274
PIL_3,PIL,Q2_MediumPoor,1546,370,478,415,283
PIL_4,PIL,Q0_Pristine,545,177,143,166,59
PIL_4,PIL,Q05_VeryGood,561,226,126,180,29
PIL_4,PIL,Q1_Poor,599,190,182,183,44
PIL_4,PIL,Q15_Medium,1101,315,313,261,212
PIL_4,PIL,Q2_MediumPoor,1634,380,509,434,311
PIL_5,PIL,Q0_Pristine,549,170,144,184,51
PIL_5,PIL,Q05_VeryGood,506,176,130,168,32
PIL_5,PIL,Q1_Poor,578,186,186,173,33
PIL_5,PIL,Q15_Medium,999,317,261,211,210
PIL_5,PIL,Q2_MediumPoor,1574,364,480,431,299
PIL_6,PIL,Q0_Pristine,493,160,141,145,47
PIL_6,PIL,Q05_VeryGood,513,185,131,161,36
PIL_6,PIL,Q1_Poor,518,180,165,142,31
PIL_6,PIL,Q15_Medium,1042,295,276,193,278
PIL_6,PIL,Q2_MediumPoor,1505,371,502,373,259
PIL_7,PIL,Q0_Pristine,560,178,144,188,50
PIL_7,PIL,Q05_VeryGood,512,174,126,178,34
PIL_7,PIL,Q1_Poor,598,195,185,184,34
PIL_7,PIL,Q15_Medium,1019,313,270,221,215
PIL_7,PIL,Q2_MediumPoor,1583,371,508,425,279
PIL_8,PIL,Q0_Pristine,498,169,140,142,47
PIL_8,PIL,Q05_VeryGood,548,194,154,165,35
PIL_8,PIL,Q1_Poor,533,201,158,140,34
PIL_8,PIL,Q15_Medium,1047,292,277,214,264
PIL_8,PIL,Q2_MediumPoor,1451,367,445,373,266
PIL_9,PIL,Q0_Pristine,585,193,170,167,55
PIL_9,PIL,Q05_VeryGood,531,194,146,162,29
PIL_9,PIL,Q1_Poor,607,189,183,199,36
PIL_9,PIL,Q15_Medium,1161,286,321,262,292
